id,model_id,marketplace,external_id,listing_url,status,parent_external_id,created_at,updated_at
32,43,amazon,B0GDW3RGZM,,,,2026-01-03 22:42:32.521544,2026-01-03 22:42:32.521551
33,40,amazon,B0GDW2KHV1,,,,2026-01-03 22:42:32.893559,2026-01-03 22:42:32.893565
34,44,amazon,B0GDVZQZFH,,,,2026-01-03 22:42:33.620826,2026-01-03 22:42:33.620833
35,42,amazon,B0GDW3269N,,,,2026-01-03 22:42:34.012282,2026-01-09 19:56:56.331266
36,76,amazon,B0GDW5G8TQ,,,,2026-01-03 22:42:34.794614,2026-01-03 22:42:34.794621
37,64,amazon,B0GDW6RS3V,,,,2026-01-03 22:42:35.539739,2026-01-03 22:42:35.539745
38,65,amazon,B0GDWJNYVD,,,,2026-01-03 22:42:35.943947,2026-01-03 22:42:35.943954
39,35,amazon,B0GDVZHHNZ,,,,2026-01-03 22:42:36.363501,2026-01-03 22:42:36.363507
40,36,amazon,B0GDW44HND,,,,2026-01-03 22:42:36.750997,2026-01-03 22:42:36.751003
41,38,amazon,B0GDVWR7BL,,,,2026-01-03 22:42:37.108320,2026-01-03 22:42:37.108324
42,39,amazon,B0GDW2FP6N,,,,2026-01-03 22:42:37.510280,2026-01-03 22:42:37.510284
43,37,amazon,B0GDWBW6TW,,,,2026-01-03 22:42:37.864103,2026-01-03 22:42:37.864108
44,56,amazon,B0GDW63C33,,,,2026-01-03 22:42:39.787103,2026-01-03 22:42:39.787108
45,54,amazon,B0GDW55QPN,,,,2026-01-03 22:42:40.180848,2026-01-03 22:42:40.180854
46,57,amazon,B0GDVWY69M,,,,2026-01-03 22:42:40.690345,2026-01-03 22:42:40.690352
47,55,amazon,B0GDW3KGZY,,,,2026-01-03 22:42:41.111708,2026-01-03 22:42:41.111712
48,58,amazon,B0GDW5Q7PV,,,,2026-01-03 22:42:41.468117,2026-01-03 22:42:41.468123
49,59,amazon,B0GDW8SYHX,,,,2026-01-03 22:42:41.830866,2026-01-03 22:42:41.830872
50,60,amazon,B0GDVZV6PS,,,,2026-01-03 22:42:42.190332,2026-01-03 22:42:42.190338
51,70,amazon,B0GDVYQHT3,,,,2026-01-03 22:42:42.567946,2026-01-03 22:42:42.567951
52,71,amazon,B0GDW8R2JV,,,,2026-01-03 22:42:42.981977,2026-01-03 22:42:42.981983
53,72,amazon,B0GDVWFSQ9,,,,2026-01-03 22:42:43.447199,2026-01-03 22:42:43.447206
54,49,amazon,B0GDWFCD97,,,,2026-01-03 22:42:46.104279,2026-01-03 22:42:46.104286
55,50,amazon,B0GDVWYWC4,,,,2026-01-03 22:42:46.556027,2026-01-03 22:42:46.556033
56,51,amazon,B0GDWBYJ5T,,,,2026-01-03 22:42:46.990053,2026-01-03 22:42:46.990063
57,52,amazon,B0GDWKL8PT,,,,2026-01-03 22:42:47.457192,2026-01-03 22:42:47.457198
58,53,amazon,B0GDWH9J7K,,,,2026-01-03 22:42:47.859712,2026-01-03 22:42:47.859719
59,46,amazon,B0GDVZHTGY,,,,2026-01-03 22:42:48.248087,2026-01-03 22:42:48.248093
60,47,amazon,B0GDW2DWQ8,,,,2026-01-03 22:42:48.623411,2026-01-03 22:42:48.623419
61,48,amazon,B0GDW3B1CM,,,,2026-01-03 22:42:49.011256,2026-01-03 22:42:49.011264
62,111,amazon,B0G48FBWHM,,,,2026-01-14 15:52:12.249836,2026-01-14 15:52:12.249840
63,109,amazon,B0G48DG46S,,,,2026-01-14 15:52:38.155514,2026-01-14 15:52:38.155520
65,112,amazon,B0G488M273,,,,2026-01-14 15:53:26.351224,2026-01-14 15:53:26.351230
66,161,reverb,77054514,,,,2026-01-21 20:46:50.689326,2026-01-21 20:46:50.689332
67,3,reverb,94192961,,,,2026-01-24 00:11:04.221899,2026-01-24 04:28:05.414057
68,4,reverb,94192962,,,,2026-01-24 00:11:04.589257,2026-01-24 04:27:54.372721
69,164,reverb,94195254,,,,2026-01-24 06:34:08.960571,2026-01-24 06:34:08.960575
70,168,reverb,94195256,,,,2026-01-24 06:34:38.572674,2026-01-24 06:34:38.572679
71,167,reverb,94195255,,,,2026-01-24 06:35:17.734702,2026-01-24 06:35:17.734708
72,162,reverb,94195253,,,,2026-01-24 06:35:53.824792,2026-01-24 06:35:53.824796
73,177,reverb,94195555,,,,2026-01-24 07:24:17.045258,2026-01-24 07:24:17.045262
74,178,reverb,94195556,,,,2026-01-24 07:24:27.677778,2026-01-24 07:24:27.677783
75,175,reverb,94195553,,,,2026-01-24 07:24:43.553163,2026-01-24 07:24:43.553167
76,176,reverb,94195554,,,,2026-01-24 07:25:03.686456,2026-01-24 07:25:03.686459
